Table 1
Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 27 Jan 2021 06:23:33 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,5669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1982-0365-JPN,1982,0365,Natural,Meteorological,Storm,,,,Kill,Japan,JPN,Eastern Asia,Asia,Nagasaki,,,,,,,,,Kph,,,,,1982,7,3,1982,7,3,100,,,140000,140000,,,,37.7458220769372
1982-0091-KOR,1982,0091,Natural,Meteorological,Storm,Tropical cyclone,,Cecil,Kill,Korea (the Republic of),KOR,Eastern Asia,Asia,Southwest coast,,,,,,,,,Kph,,,,,1982,8,14,1982,8,14,63,42,,,42,,,30000,37.7458220769372
1982-0095-KOR,1982,0095,Natural,Meteorological,Storm,Tropical cyclone,,Ellis,Affect,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1982,8,27,1982,8,27,5,,5000,,5000,,,,37.7458220769372
1982-0056-LKA,1982,0056,Natural,Hydrological,Flood,,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,South,,,,Yes,,,,,Km2,,,,,1982,5,,1982,5,,20,,100000,,100000,,,1000,37.7458220769372
1982-0130-LKA,1982,0130,Natural,Hydrological,Flood,,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,Matale (Central regions),,,,,,,,,Km2,,,,,1982,12,12,1982,12,12,34,,30000,,30000,,,,37.7458220769372
1982-0057-MMR,1982,0057,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,South West,,,,,,,,,Kph,,,,,1982,5,4,1982,5,4,11,,36000,,36000,,,,37.7458220769372
1982-0403-MNG,1982,0403,Natural,Hydrological,Flood,,,,Kill,Mongolia,MNG,Eastern Asia,Asia,North,,,,,No,No,,,Km2,,,,,1982,,,1982,,,,,,,,,,,37.7458220769372
1982-0407-NPL,1982,0407,Natural,Biological,Epidemic,Bacterial disease,,,Affected,Nepal,NPL,Southern Asia,Asia,Kathmandu valley,,,,,No,No,,,Vaccinated,,,,,1982,,,1984,,,,,1475,,1475,,,,37.7458220769372
1982-0354-NPL,1982,0354,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1982,7,3,1982,7,3,92,,,,,,,,37.7458220769372
1982-0089-PAK,1982,0089,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1982,8,,1982,8,,68,,10000,,10000,,,,37.7458220769372
1982-0195-PHL,1982,0195,Natural,Hydrological,Flood,Coastal flood,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Davao Del Norte, Sur & Oriental",,,,,,,,,Km2,,,,,1982,6,23,1982,6,23,,,818,,818,,,60,37.7458220769372
1982-0180-PHL,1982,0180,Natural,Hydrological,Flood,Flash flood,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Region X,,,,,,,,,Km2,,,,,1982,1,22,1982,1,22,18,,35,,35,,,,37.7458220769372
1982-0037-PHL,1982,0037,Natural,Meteorological,Storm,Tropical cyclone,,Mamie,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,S.E./N. Mindanao,,,,,,,,,Kph,,,,,1982,3,22,1982,3,22,117,,16000,,16000,,,,37.7458220769372
1982-0038-PHL,1982,0038,Natural,Meteorological,Storm,Tropical cyclone,,Nelson (Bising),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central province,,,,,,,,,Kph,,,,,1982,3,23,1982,3,23,151,31,485000,304000,789031,,,69000,37.7458220769372
1982-0093-PHL,1982,0093,Natural,Meteorological,Storm,Tropical cyclone,,Faye,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,West,,,,,,,,,Kph,,,,,1982,8,25,1982,8,25,70,67,25900,,25967,,,6500,37.7458220769372
1982-0101-PHL,1982,0101,Natural,Meteorological,Storm,Tropical cyclone,,(Ruping),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,C./S. Luzon,,,,,,,,,Kph,,,,,1982,9,5,1982,9,5,65,26,44383,5599,50008,,,,37.7458220769372
1982-0111-PHL,1982,0111,Natural,Meteorological,Storm,Tropical cyclone,,Nancy (Weling),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,North Luzon,,,,,,,,,Kph,,,,,1982,10,12,1982,10,12,96,183,51532,12464,64179,,,32000,37.7458220769372
1982-0173-PHL,1982,0173,Natural,Meteorological,Storm,Tropical cyclone,,(Akang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1982,3,18,1982,3,18,25,8,23911,1180,25099,,,2400,37.7458220769372
1982-0174-PHL,1982,0174,Natural,Meteorological,Storm,Tropical cyclone,,(Emang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1982,7,12,1982,7,12,10,5,11883,431,12319,,,4500,37.7458220769372
1982-0175-PHL,1982,0175,Natural,Meteorological,Storm,Tropical cyclone,,(Norming),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1982,8,20,1982,8,20,29,40,31522,5365,36927,,,4200,37.7458220769372
1982-0176-PHL,1982,0176,Natural,Meteorological,Storm,Tropical cyclone,,(Aning),Govern,Philippines (the),PHL,South-Eastern Asia,Asia,Visayan Sea region,,,,,,,,,Kph,,,,,1982,12,2,1982,12,2,,,41,44,85,,,5,37.7458220769372
1982-0029-PHL,1982,0029,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,South,,,,,,,,,Km2,,,,,1982,2,,1982,2,,13,,200000,,200000,,,,37.7458220769372
1982-0193-PHL,1982,0193,Natural,Hydrological,Flood,,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Maguindanao, Sultan Kudarat",,,,,,,,,Km2,,,,,1982,6,,1982,6,,2,232,,,232,,,,37.7458220769372
1982-0334-SAU,1982,0334,Natural,Meteorological,Storm,Convective storm,Severe storm,,Declar,Saudi Arabia,SAU,Western Asia,Asia,South regions,,,,,,,,,Kph,,,,,1982,2,,1982,2,,,,,,,,,,37.7458220769372
1983-0109-PHL,1983,0109,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Ilocos Norte,,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,,,,7,Richter,18.231,120.86,20:17,,1983,8,18,1983,8,18,19,176,1725,,1901,,,2227,38.9583793014576
1983-0058-IRN,1983,0058,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Tehran, Damavond, Amoi",,"Slide (land, mud, snow, rock)",,,,,,5,Richter,35.953,52.264,15:27,,1983,3,26,1983,3,26,30,61,7005,,7066,,,5000,38.9583793014576
1983-0437-JPN,1983,0437,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Japan,JPN,Eastern Asia,Asia,Near South coast Honshu,,"Slide (land, mud, snow, rock)",,,,,,5,Richter,35.5,139.07,12:47,,1983,8,8,1983,8,8,1,28,,,28,,,,38.9583793014576
1983-0081-JPN,1983,0081,Natural,Geophysical,Earthquake,Tsunami,,,Kill,Japan,JPN,Eastern Asia,Asia,"Nihon- Kai-Chubu, Western Honshu, Akita, Aomori, Hokkaido",,Tsunami/Tidal wave,,,,,,8,Richter,40.462,139.102,11:59,,1983,5,26,1983,5,26,102,77,,,77,,,416000,38.9583793014576
1983-0536-JPN,1983,0536,Natural,Meteorological,Storm,,,,Kill,Japan,JPN,Eastern Asia,Asia,,,Cold wave,,,No,No,,,Kph,,,,,1983,12,,1984,1,,131,,,,,,,,38.9583793014576
1983-0067-IDN,1983,0067,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Banda Aceh (North Sumatra),,,,,,,,7,Richter,5.723,94.722,09:51,,1983,4,3,1983,4,3,,100,,,100,,,1000,38.9583793014576
1983-0088-IDN,1983,0088,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Gamkunoro,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Halmahera Island,,,,,,,,,,,,,,1983,6,28,1983,6,28,,,2500,,2500,,,,38.9583793014576
1983-0095-IDN,1983,0095,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Colo,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Unauna Isl. (central Sulawesi),,,,Yes,,,,,,,,,,1983,7,14,1983,7,14,,,7101,,7101,,,25500,38.9583793014576
1983-0119-IDN,1983,0119,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Gamalama,Affect,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1983,9,9,1983,9,9,,,6334,,6334,,,149690,38.9583793014576
1983-0524-IDN,1983,0524,Natural,Hydrological,Landslide,Landslide,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1983,,,1983,,,21,,,,,,,,38.9583793014576
1983-0050-IDN,1983,0050,Natural,Biological,Epidemic,Parasitic disease,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Lampung Province,,,,,,,,,Vaccinated,,,,,1983,3,,1983,3,,120,,,,,,,,38.9583793014576
1983-0090-IDN,1983,0090,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Banggai,,,,,,,,,Km2,,,,,1983,7,,1983,7,,11,,2000,,2000,,,,38.9583793014576
1983-0126-IDN,1983,0126,Natural,Hydrological,Flood,,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,"Aceh, Sumatra",,,,,,,,,Km2,,,,,1983,10,,1983,10,,2,,5000,,5000,,,,38.9583793014576
1983-0154-IDN,1983,0154,Natural,Hydrological,Flood,,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,"Java, Yogyakarta",,,,,,,,,Km2,,,,,1983,12,,1983,12,,7,17,410480,,410497,,,7007,38.9583793014576
1983-0117-IND,1983,0117,Natural,Hydrological,Landslide,Landslide,,,Kill,India,IND,Southern Asia,Asia,Sikkim,,,,,,,,,,,,,,1983,9,,1983,9,,67,,,,,,,,38.9583793014576
1983-0061-IND,1983,0061,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,West Bengal,,,,,,,,,Kph,,,,,1983,4,,1983,4,,76,1500,6000,,7500,,,,38.9583793014576
1983-0087-IND,1983,0087,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,Saurashtra coast (N-W. Gujarat),,,,Yes,,,,,Kph,,,,,1983,6,19,1983,6,19,551,,800000,,800000,,,56000,38.9583793014576
1983-0129-IND,1983,0129,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,"Andhra Pradesh, Orissa",,,,Yes,,,,,Kph,,,,,1983,10,3,1983,10,3,100,,700000,14000,714000,,,510000,38.9583793014576
1983-0068-IND,1983,0068,Natural,Meteorological,Storm,,,,Kill,India,IND,Southern Asia,Asia,West Bengal,,,,,,,,,Kph,,,,,1983,4,13,1983,4,13,24,300,35000,,35300,,,,38.9583793014576
1983-0076-IND,1983,0076,Natural,Meteorological,Storm,,,,Kill,India,IND,Southern Asia,Asia,"Himachal Pradesh, Punjab",,,,,,,,,Kph,,,,,1983,5,,1983,5,,31,,,,,,,25000,38.9583793014576
1983-0089-IND,1983,0089,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Upper Assama, Central Sikkim",,,,,,,,,Km2,,,,,1983,7,,1983,7,,197,,250000,,250000,,,,38.9583793014576
1983-0102-IND,1983,0102,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Central - Western,,,,,,,,,Km2,,,,,1983,8,,1983,8,,130,,,,,,,,38.9583793014576
1983-0153-IND,1983,0153,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Tamil Nadu,,,,,,,,,Km2,,,,,1983,12,,1983,12,,58,,,,,,,,38.9583793014576
1983-0507-IND,1983,0507,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1983,9,,1983,9,,400,,,,,,,,38.9583793014576
1983-0432-IRN,1983,0432,Natural,Geophysical,Earthquake,Ground movement,,,Declar,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Zanjan (Western Region),,,,,,,,6,Richter,36.948,49.18,06:11,,1983,7,22,1983,7,22,3,41,,375,416,,,5000,38.9583793014576
1983-0365-ISR,1983,0365,Natural,Climatological,Wildfire,Forest fire,,,Declar,Israel,ISR,Western Asia,Asia,Jerusalem,,,,,,,,,Km2,,,,,1983,11,3,1983,11,3,,,,,,,,,38.9583793014576
1983-0130-JPN,1983,0130,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Oyama,Affect,Japan,JPN,Eastern Asia,Asia,Miyake-Jima Island,,,,,,,,,,,,,,1983,10,3,1983,10,3,,,4500,1100,5600,,,,38.9583793014576
1983-0525-JPN,1983,0525,Natural,Hydrological,Landslide,Landslide,,,Kill,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,,,,,,1983,,,1983,,,70,,,,,,,,38.9583793014576
1983-0123-JPN,1983,0123,Natural,Meteorological,Storm,Tropical cyclone,,Forest,Kill,Japan,JPN,Eastern Asia,Asia,Western Japan,,,,,,,,,Kph,,,,,1983,9,28,1983,9,28,44,78,,,78,,,,38.9583793014576
1983-0098-JPN,1983,0098,Natural,Hydrological,Landslide,Mudslide,,,Kill,Japan,JPN,Eastern Asia,Asia,Western Honshu,,,,,,,,,,,,,,1983,7,24,1983,7,24,117,88,25000,,25088,,,,38.9583793014576
1983-0455-LBN,1983,0455,Natural,Geophysical,Mass movement (dry),Landslide,,,Kill,Lebanon,LBN,Western Asia,Asia,Bekaa valley,,,,,,,,,,,,,,1983,12,,1983,12,,20,,,,,,,,38.9583793014576
1983-0151-LKA,1983,0151,Natural,Hydrological,Flood,,,,Affect,Sri Lanka,LKA,Southern Asia,Asia,"North, North Central, Eastern provinces",,,,Yes,,,,,Km2,,,,,1983,12,,1983,12,,3,,1000000,250000,1250000,,,,38.9583793014576
1983-0017-MMR,1983,0017,Natural,Biological,Epidemic,Bacterial disease,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,Rangoon,,,,,,,,,Vaccinated,,,,,1983,1,1,1983,1,1,10,,800,,800,,,,38.9583793014576
1983-0152-MYS,1983,0152,Natural,Hydrological,Flood,,,,Kill,Malaysia,MYS,South-Eastern Asia,Asia,East coast,,,,,,,,,Km2,,,,,1983,12,,1983,12,,10,,15000,,15000,,,,38.9583793014576
1983-0526-NPL,1983,0526,Natural,Hydrological,Landslide,Landslide,,,Kill,Nepal,NPL,Southern Asia,Asia,,,,,,,,,,,,,,,1983,,,1983,,,21,,,,,,,,38.9583793014576
1983-0114-NPL,1983,0114,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,"Bardia, Kailali, Kanchampur, Dandeldhura, Doti, Accham, Bajura, Bajhang, Darchula districts",,,,,,,,,Km2,,,,,1983,9,,1983,9,,186,50,200000,,200050,,,10000,38.9583793014576
1983-0165-PAK,1983,0165,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Pakistan/Afghanistan border, Hindu Kusk region",,,,,,,,7,Richter,36.372,70.738,04:52,,1983,12,31,1983,12,31,24,543,,,543,,,3000,38.9583793014576
1983-0053-PAK,1983,0053,Natural,Hydrological,Landslide,Avalanche,,,Kill,Pakistan,PAK,Southern Asia,Asia,Phuban (Astor Valley),,,,,,,,,,,,,,1983,3,11,1983,3,11,95,100,,,100,,,,38.9583793014576
1983-0439-PAK,1983,0439,Natural,Hydrological,Landslide,Mudslide,,,Declar,Pakistan,PAK,Southern Asia,Asia,Central and North regions,,,,,,,,,,,,,,1983,4,18,1983,4,18,,,,,,,,,38.9583793014576
1983-0440-PAK,1983,0440,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,Punjab province,,,,,,,,,Km2,,,,,1983,8,6,1983,8,6,39,,64300,,64300,,,,38.9583793014576
1983-0254-PHL,1983,0254,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Bohol,,,,,,,,,Kph,,,,,1983,9,16,1983,9,16,2,,100,,100,,,,38.9583793014576
1983-0096-PHL,1983,0096,Natural,Meteorological,Storm,Tropical cyclone,,Vera (Bebeng),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Southeast Luzon,,,,,,,,120,Kph,,,,,1983,7,14,1983,7,14,115,27,120811,29054,149892,,,1640,38.9583793014576
1983-0219-PHL,1983,0219,Natural,Meteorological,Storm,Tropical cyclone,,Ellen (Herming),Affect,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1983,9,3,1983,9,3,3,,1489,195,1684,,,430,38.9583793014576
1983-0220-PHL,1983,0220,Natural,Meteorological,Storm,Tropical cyclone,,Orchid (Warling),Affect,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1983,11,17,1983,11,17,8,1,18242,611,18854,,,2250,38.9583793014576
1983-9016-PHL,1983,9016,Natural,Climatological,Drought,Drought,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Misamis Oriental,,,,,,,,,Km2,,,,,1983,,,1983,,,,,1691060,,1691060,,,,38.9583793014576
1983-0255-PHL,1983,0255,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Lanao del Sur,,,,,,,,,Km2,,,,,1983,9,23,1983,9,23,11,,1835,,1835,,,3,38.9583793014576
1983-0048-PSE,1983,0048,Natural,Biological,Epidemic,,,,Affect,"Palestine, State of",PSE,Western Asia,Asia,,,,,Yes,,,,,Vaccinated,,,,,1983,3,,1983,3,,,,943,,943,,,,38.9583793014576
1984-0084-JPN,1984,0084,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Japan,JPN,Eastern Asia,Asia,"Honshu, Nagano prefecture (Honshu)",,"Slide (land, mud, snow, rock)",,,No,No,,7,Richter,36.39 N,138.10 E,,,1984,9,14,1984,9,14,20,,,,,,,43000,40.6338038615079
1984-0335-JPN,1984,0335,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Japan,JPN,Eastern Asia,Asia,Kyushu (Shikoku Island),,Tsunami/Tidal wave,,,No,No,,7,Richter,32.50 N,130.42 E,,,1984,8,6,1984,8,6,,9,,,9,,,,40.6338038615079
1984-0015-IDN,1984,0015,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,Indonesia,IDN,South-Eastern Asia,Asia,Mamuju (Central Sulawesi),,,,,No,No,,6,Richter,2.41 S,118.55 E,,,1984,1,10,1984,1,10,2,89,,,89,,,,40.6338038615079
1984-0072-IDN,1984,0072,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Pahae Jae sub-district (North Sumatra),,,,,No,No,,5,Richter,1.3 S,98.0 E,,,1984,8,27,1984,8,27,,108,1750,,1858,,,1000,40.6338038615079
1984-0042-IDN,1984,0042,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Soputan,Affect,Indonesia,IDN,South-Eastern Asia,Asia,North Surawasi province,,,,,,,,,,,,,,1984,5,25,1984,5,25,,,6000,,6000,,,,40.6338038615079
1984-0081-IDN,1984,0081,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Karangetan,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Siau Isl (North Sulawesi),,,,,,,,,,,,,,1984,9,5,1984,9,5,,,17000,,17000,,,,40.6338038615079
1984-0328-IDN,1984,0328,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Merapi,Affect,Indonesia,IDN,South-Eastern Asia,Asia,"Dukuh, Srumbung, Sawangan districts (Central Java)",,,,,,,,,,,,,,1984,6,15,1984,6,15,,,5000,,5000,,,,40.6338038615079
1984-0118-IDN,1984,0118,Natural,Biological,Epidemic,Parasitic disease,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Cilicap district (Central Java),,,,,,,,,Vaccinated,,,,,1984,12,,1984,12,,105,,4000,,4000,,,,40.6338038615079
1984-9013-IDN,1984,9013,Natural,Climatological,Drought,Drought,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kyrim, Irian Jaya",,,,,,,,,Km2,,,,,1984,,,1984,,,230,,2000,,2000,,,,40.6338038615079
1984-0037-IDN,1984,0037,Natural,Hydrological,Flood,,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,West Java,,,,,,,,,Km2,,,,,1984,4,27,1984,4,27,,,2700,,2700,,,1500,40.6338038615079
1984-0121-IDN,1984,0121,Natural,Hydrological,Flood,,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Bandung Region (West Java),,,,,,,,,Km2,,,,,1984,12,3,1984,12,3,,,37500,,37500,,,,40.6338038615079
1984-0327-IDN,1984,0327,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Central, East, West Java, Jogyakarta, North Sumatar",,,,,,,,,Km2,,,,,1984,2,3,1984,2,3,26,,300000,20000,320000,,,,40.6338038615079
1984-0124-IND,1984,0124,Natural,Geophysical,Earthquake,Ground movement,,,Kill,India,IND,Southern Asia,Asia,Cachar district (Assam),,,,,No,No,,6,Richter,24.40 N,92.34 E,,,1984,12,31,1984,12,31,20,100,800,10000,10900,,,,40.6338038615079
1984-0322-IND,1984,0322,Natural,Hydrological,Flood,Flash flood,,,Kill,India,IND,Southern Asia,Asia,Ladakh area,,,,,,,,,Km2,,,,,1984,8,16,1984,8,16,14,,,,,,,,40.6338038615079
1984-0110-IND,1984,0110,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,"Tamil Nadu state + Chittoor, Nellore districts (Andhra Pradesh state)",,,,,,,,,Kph,,,,,1984,11,14,1984,11,14,524,,1300000,,1300000,,,35000,40.6338038615079
1984-0227-IND,1984,0227,Natural,Meteorological,Storm,Tropical cyclone,,,Govern,India,IND,Southern Asia,Asia,"East Uttar Pradesh + Cuttack, Balasore districts (Orissa state) + Midnapore district (West Bengal)",,,,,,,,,Kph,,,,,1984,10,13,1984,10,13,,,,,,,,,40.6338038615079
1984-0228-IND,1984,0228,Natural,Meteorological,Storm,Tropical cyclone,,,Affect,India,IND,Southern Asia,Asia,"Ravalaseema, Kerala, Tamil Nadu",,,,,,,,,Kph,,,,,1984,11,30,1984,11,30,,,35000,,35000,,,,40.6338038615079
1984-0115-IND,1984,0115,Natural,Meteorological,Extreme temperature ,Cold wave,,,Kill,India,IND,Southern Asia,Asia,Northeast,,,,,,,,,°C,,,,,1984,12,,1984,12,,290,,,,,,,,40.6338038615079
1984-0044-IND,1984,0044,Natural,Climatological,Wildfire,Forest fire,,,OFDA,India,IND,Southern Asia,Asia,Jammu region,,,,,,,,,Km2,,,,,1984,5,,1984,5,,,,,,,,,2000,40.6338038615079
1984-0053-IND,1984,0053,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,India,IND,Southern Asia,Asia, Uttar Pradesh,,,,,,,,,Vaccinated,,,,,1984,6,,1984,6,,60,,,,,,,,40.6338038615079
1984-0316-IND,1984,0316,Natural,Biological,Epidemic,Parasitic disease,,Dysentery,Kill,India,IND,Southern Asia,Asia,W Bengal State,,,,,,,,,Vaccinated,,,,,1984,5,,1984,5,,3290,,27000,,27000,,,,40.6338038615079
1984-0317-IND,1984,0317,Natural,Biological,Epidemic,Viral disease,,,Kill,India,IND,Southern Asia,Asia,"Gujarat, Karnataka States",,,,,,,,,Vaccinated,,,,,1984,5,,1984,5,,1160,,,,,,,,40.6338038615079
1984-0040-IND,1984,0040,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,North-East states,,,,,,,,,Km2,,,,,1984,5,,1984,5,,245,,16000000,,16000000,,,90000,40.6338038615079
1984-0318-IND,1984,0318,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"West Bengal, Uttar Pradesh, Assam, Bihar",,,,,,,,,Km2,,,,,1984,6,25,1984,6,25,200,,3000000,,3000000,,,,40.6338038615079
1984-0323-IND,1984,0323,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"W Bengal, Uttar Pradesh & Orissa",,,,,,,,,Km2,,,,,1984,8,,1984,8,,245,,,,,,,,40.6338038615079
1984-0325-IND,1984,0325,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,North-East region,,,,,,,,,Km2,,,,,1984,9,,1984,9,,36,,,,,,,,40.6338038615079
1984-0410-JPN,1984,0410,Natural,Hydrological,Landslide,Landslide,,,Kill,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,,,,,,1984,,,1984,,,14,,,,,,,,40.6338038615079
1984-0059-KOR,1984,0059,Natural,Hydrological,Landslide,Landslide,,,Kill,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,,,,,,1984,7,7,1984,7,7,47,,4000,,4000,,,40000,40.6338038615079
1984-0074-KOR,1984,0074,Natural,Hydrological,Flood,,,,Kill,Korea (the Republic of),KOR,Eastern Asia,Asia,"Kyunggido, Kangwondo, Chungchongdo, Kyongsangdo, Chollado",,,,Yes,,,,819,Km2,,,,,1984,8,31,1984,8,31,166,187,350984,,351171,,,165000,40.6338038615079
1984-0077-LAO,1984,0077,Natural,Hydrological,Flood,,,,Kill,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1984,9,,1984,9,,14,,2000,,2000,,,,40.6338038615079
1984-0350-LKA,1984,0350,Natural,Hydrological,Flood,Riverine flood,,,Affect,Sri Lanka,LKA,Southern Asia,Asia,North and Eastern regions,,,,,,,,,Km2,,,,,1984,1,7,1984,1,7,3,,100000,250000,350000,,,,40.6338038615079
1984-0043-LKA,1984,0043,Natural,Hydrological,Flood,,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,Kalutara district + Southwestern districts,,,,,,,,20234,Km2,,,,,1984,5,24,1984,5,24,45,,85000,70000,155000,,,,40.6338038615079
1984-0101-LKA,1984,0101,Natural,Hydrological,Flood,,,,OFDA,Sri Lanka,LKA,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1984,11,,1984,11,,,,,,,,,2000,40.6338038615079
1984-0418-LKA,1984,0418,Natural,Hydrological,Flood,,,,Affect,Sri Lanka,LKA,Southern Asia,Asia,"Ratnapura, Kegalce, Gampaka, Colombo",,,,,,,,,Km2,,,,,1984,7,,1984,7,,3,,,70000,70000,,,,40.6338038615079
