Table 1
Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 27 Jan 2021 06:23:33 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,5669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1971-0100-HKG,1971,0100,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1971,4,,1971,4,,,,,,,,,,15.8382546266338
1971-0102-HKG,1971,0102,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1971,10,,1971,10,,,,,,,,,,15.8382546266338
1971-0058-IND,1971,0058,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,"East coast, Orissa state",,,,Yes,,,,,Kph,,,,,1971,10,27,1971,10,27,9658,,4900000,2000000,6900000,,,30000,15.8382546266338
1971-0112-IND,1971,0112,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,"Bihar, West Bengal",,,,,,,,,Kph,,,,,1971,9,27,1971,9,27,60,,,,,,,,15.8382546266338
1972-0002-AFG,1972,0002,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,West,,,,,,,,,Km2,,,,,1972,1,,1972,1,,150,,250000,,250000,,,,16.3565247541826
1972-0026-BGD,1972,0026,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,Bangladesh,BGD,Southern Asia,Asia,Mymensingh,,,,,,,,,Kph,,,,,1972,4,2,1972,4,2,200,,25000,,25000,,,,16.3565247541826
1972-0041-BGD,1972,0041,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Sylhet,,,,,,,,,Km2,,,,,1972,6,25,1972,6,25,50,,,,,,,,16.3565247541826
1972-0038-HKG,1972,0038,Natural,Hydrological,Landslide,Landslide,,,Kill,Hong Kong,HKG,Eastern Asia,Asia,"Kwungton, Victoria",,,,,,,,,,,,,,1972,6,18,1972,6,18,100,,1000,,1000,,,,16.3565247541826
1972-0097-HKG,1972,0097,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,1,,1972,1,,,,,,,,,,16.3565247541826
1972-0098-HKG,1972,0098,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,4,,1972,4,,,,,,,,,,16.3565247541826
1972-0099-HKG,1972,0099,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,10,,1972,10,,,,,,,,,,16.3565247541826
1972-0100-HKG,1972,0100,Natural,Hydrological,Flood,,,,Affect,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,5,7,1972,5,7,,,1510,6055,7565,,,,16.3565247541826
1972-0101-HKG,1972,0101,Natural,Hydrological,Flood,,,,Kill,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,6,16,1972,6,16,138,56,6751,7800,14607,,,,16.3565247541826
1972-9131-IDN,1972,9131,Natural,Climatological,Drought,Drought,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Central Java, Southern Isles",,,,Yes,No,No,,,Km2,,,,,1972,,,1973,,,,,3500000,,3500000,,,70000,16.3565247541826
1972-0051-IND,1972,0051,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,"Andhra Pradesh, Orissa",,,,,,,,,Kph,,,,,1972,9,10,1972,9,10,100,,4500000,,4500000,,,,16.3565247541826
1972-0063-IND,1972,0063,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,India,IND,Southern Asia,Asia,Madras City,,,,,,,,,Kph,,,,,1972,12,1,1972,12,1,80,,30000,,30000,,,,16.3565247541826
1972-9116-IND,1972,9116,Natural,Climatological,Drought,Drought,,,,India,IND,Southern Asia,Asia,Central,,,,Yes,No,No,,,Km2,,,,,1972,,,1973,,,,,200000000,,200000000,,,100000,16.3565247541826
1973-0053-BGD,1973,0053,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Bangladesh,BGD,Southern Asia,Asia,South coast,,,,,,,,,Kph,,,,,1973,12,9,1973,12,9,1000,,,,,,,,17.3669860176555
1973-0023-BGD,1973,0023,Natural,Meteorological,Storm,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Faridpur district,,,,,,,,,Kph,,,,,1973,4,12,1973,4,12,200,15000,25000,10000,50000,,,,17.3669860176555
1973-0123-BGD,1973,0123,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1973,3,,1973,3,,427,,,,,,,,17.3669860176555
1973-0125-BGD,1973,0125,Natural,Meteorological,Storm,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1973,4,,1973,4,,700,,,,,,,,17.3669860176555
1973-0130-BGD,1973,0130,Natural,Hydrological,Flood,,,,Regional,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1973,8,,1973,8,,,,,,,,,,17.3669860176555
1973-0103-HKG,1973,0103,Natural,Meteorological,Storm,Tropical cyclone,,Dot,Affect,Hong Kong,HKG,Eastern Asia,Asia,"uen Long, Tai Po, Sha Tin, Tin Shui Wai",,,,,,,,,Kph,,,,,1973,7,15,1973,7,15,1,38,238,,276,,,,17.3669860176555
1973-0095-HKG,1973,0095,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1973,1,,1973,1,,,,,,,,,,17.3669860176555
1973-0096-HKG,1973,0096,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1973,4,,1973,4,,,,,,,,,,17.3669860176555
1973-0028-IDN,1973,0028,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Flores,,,,,,,,,Kph,,,,,1973,6,,1973,6,,1650,,,,,,,,17.3669860176555
1973-0009-IND,1973,0009,Natural,Meteorological,Extreme temperature ,Cold wave,,,Kill,India,IND,Southern Asia,Asia,"Uttar Pradesh, Bihar",,,,,,,,,°C,,,,,1973,1,5,1973,1,5,115,,,,,,,,17.3669860176555
1973-0054-IND,1973,0054,Natural,Meteorological,Extreme temperature ,Cold wave,,,Kill,India,IND,Southern Asia,Asia,"Bihar, Delhi",,,,,,,,,°C,,,,,1973,12,23,1973,12,23,146,,,,,,,,17.3669860176555
1974-0042-BGD,1974,0042,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1974,8,,1974,8,,2500,,,,,,,,19.2868744704009
1974-0059-BGD,1974,0059,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Bangladesh,BGD,Southern Asia,Asia,"Coastal areas, off-shore Islands",,,,,,,,,Kph,,,,,1974,11,28,1974,11,28,,,,,,,,,19.2868744704009
